0.000000;0.000000;0.000000
0.010000;0.098200;0.097219
0.020000;0.194632;0.191707
0.030000;0.289329;0.283513
0.040000;0.382321;0.372686
0.050000;0.473639;0.459273
0.060000;0.563314;0.543320
0.070000;0.651374;0.624873
0.080000;0.737849;0.703977
0.090000;0.822768;0.780677
0.100000;0.906158;0.855015
0.110000;0.988047;0.927033
0.120000;1.068463;0.996775
0.130000;1.147430;1.064280
0.140000;1.224977;1.129589
0.150000;1.301127;1.192741
0.160000;1.375907;1.253776
0.170000;1.449340;1.312731
0.180000;1.521452;1.369644
0.190000;1.592266;1.424551
0.200000;1.661805;1.477489
0.210000;1.730093;1.528493
0.220000;1.797151;1.577599
0.230000;1.863002;1.624839
0.240000;1.927668;1.670248
0.250000;1.991170;1.713858
0.260000;2.053529;1.755703
0.270000;2.114765;1.795813
0.280000;2.174900;1.834221
0.290000;2.233951;1.870956
0.300000;2.291940;1.906049
0.310000;2.348885;1.939529
0.320000;2.404805;1.971425
0.330000;2.459719;2.001766
0.340000;2.513644;2.030581
0.350000;2.566598;2.057895
0.360000;2.618600;2.083737
0.370000;2.669665;2.108133
0.380000;2.719811;2.131109
0.390000;2.769054;2.152690
0.400000;2.817411;2.172901
0.410000;2.864898;2.191768
0.420000;2.911530;2.209314
0.430000;2.957322;2.225564
0.440000;3.002290;2.240540
0.450000;3.046449;2.254265
0.460000;3.089813;2.266762
0.470000;3.132396;2.278053
0.480000;3.174213;2.288160
0.490000;3.215277;2.297104
0.500000;3.255602;2.304906
0.510000;3.295202;2.311587
0.520000;3.334088;2.317167
0.530000;3.372274;2.321665
0.540000;3.409773;2.325101
0.550000;3.446597;2.327494
0.560000;3.482758;2.328863
0.570000;3.518269;2.329226
0.580000;3.553140;2.328602
0.590000;3.587383;2.327008
0.600000;3.621010;2.324462
0.610000;3.654032;2.320981
0.620000;3.686459;2.316581
0.630000;3.718303;2.311280
0.640000;3.749573;2.305093
0.650000;3.780281;2.298036
0.660000;3.810436;2.290126
0.670000;3.840048;2.281376
0.680000;3.869127;2.271804
0.690000;3.897683;2.261422
0.700000;3.925725;2.250247
0.710000;3.953261;2.238291
0.720000;3.980303;2.225570
0.730000;4.006857;2.212096
0.740000;4.032933;2.197885
0.750000;4.058540;2.182948
0.760000;4.083686;2.167299
0.770000;4.108380;2.150950
0.780000;4.132629;2.133915
0.790000;4.156442;2.116206
0.800000;4.179826;2.097834
0.810000;4.202789;2.078812
0.820000;4.225338;2.059151
0.830000;4.247482;2.038864
